name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2021-06-01,83.7,59.7,72.1,82.6,59.7,72,54.2,55,0,0,0,,0,0,19.7,11.2,336.4,1016.5,3.5,9.4,336.1,28.9,9,,2021-06-01T05:15:31,2021-06-01T20:59:32,0.71,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-02,85.4,60.7,72.9,83.9,60.7,72.7,55.7,56.8,0,0,0,,0,0,23.3,8.3,308.9,1012.7,3,9.5,330.5,28.5,9,,2021-06-02T05:14:56,2021-06-02T21:00:26,0.75,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-03,76.8,57.8,66.8,76.8,57.8,66.8,55.1,67.4,0,0,0,,0,0,12.5,8.4,236.5,1014.7,31.8,9.9,307.2,26.5,9,,2021-06-03T05:14:23,2021-06-03T21:01:17,0.78,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-04,68.3,53.5,60.1,68.3,53.5,60.1,47.1,63.7,0,0,0,,0,0,19,14.4,201.9,1017.6,69.8,9.9,229.3,19.8,7,,2021-06-04T05:13:52,2021-06-04T21:02:07,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-05,66.2,52.3,58.7,66.2,52.3,58.7,43.4,57.7,0,0,0,,0,0,33.3,19.4,210.9,1015.8,85.9,9.9,185.4,16,7,,2021-06-05T05:13:24,2021-06-05T21:02:55,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-06,55.9,48.6,51.7,55.9,46.7,51.6,44.6,77,0.278,100,37.5,rain,0,0,23.5,14.4,183.5,1014.7,93.6,9.4,114.3,10,4,,2021-06-06T05:12:59,2021-06-06T21:03:41,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-07,62.1,45.4,53.5,62.1,42.2,52.3,41.9,67.9,0.202,100,29.17,rain,0,0,20.8,14.2,233,1013.5,81.5,9.6,253.7,22,8,,2021-06-07T05:12:36,2021-06-07T21:04:25,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-08,67.6,48.6,57.3,67.6,48.6,57.3,43.3,61.9,0.002,100,4.17,rain,0,0,25.8,11.1,263.7,1015.4,55.6,9.9,319.9,27.6,9,,2021-06-08T05:12:15,2021-06-08T21:05:07,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-09,66.8,47.9,57.7,66.8,44.7,57.3,42.4,59.1,0,0,0,,0,0,20.8,9.7,208.8,1019.8,33.2,9.9,335.1,28.9,10,,2021-06-09T05:11:57,2021-06-09T21:05:47,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-10,64.9,50.1,58.4,64.9,50.1,58.4,43,58.5,0,0,0,,0,0,21.9,11.4,198.4,1020.6,76.3,9.9,275.5,23.8,10,,2021-06-10T05:11:42,2021-06-10T21:06:25,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-11,59.7,55,57,59.7,55,57,49.3,76.3,0.177,100,37.5,rain,0,0,24.6,8.9,125.6,1014.2,96.3,9.2,98.9,8.7,3,,2021-06-11T05:11:29,2021-06-11T21:07:01,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-12,72.8,53,63.1,72.8,53,63.1,51.9,70.3,0.093,100,12.5,rain,0,0,15.7,8.1,327.8,1014,51.5,9.6,293.9,25.3,9,,2021-06-12T05:11:19,2021-06-12T21:07:34,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-13,64.7,58.9,61.3,64.7,58.9,61.3,58.5,90.7,0.657,100,62.5,rain,0,0,16.6,6.4,125.5,1012.1,97,8.1,95,8.2,5,,2021-06-13T05:11:12,2021-06-13T21:08:05,0.12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-14,65.7,58.7,61.3,65.7,58.7,61.3,56.8,85.5,0.028,100,20.83,rain,0,0,14.5,6.8,167.2,1016,95.6,9.5,125,10.7,4,,2021-06-14T05:11:07,2021-06-14T21:08:34,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-15,66.8,55.6,61.3,66.8,55.6,61.3,50.4,68.6,0,0,0,,0,0,29.8,16.5,198.9,1021.8,68.3,9.9,272.2,23.5,9,,2021-06-15T05:11:04,2021-06-15T21:09:01,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-16,71.3,54.3,62.7,71.3,54.3,62.7,49.4,64,0,0,0,,0,0,19.7,15.1,331.9,1026.4,35,9.9,263.9,22.8,8,,2021-06-16T05:11:04,2021-06-16T21:09:25,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-17,77.4,53.6,65.6,77.4,53.6,65.6,46.3,53.7,0,0,0,,0,0,12.1,8.2,330.7,1021.5,8.3,9.9,344,29.8,9,,2021-06-17T05:11:07,2021-06-17T21:09:46,0.25,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-18,72.2,57.1,64.2,72.2,57.1,64.2,48.5,57.2,0,0,0,,0,0,15,11.2,347.7,1019.3,15.2,9.9,335.1,28.8,9,,2021-06-18T05:11:12,2021-06-18T21:10:06,0.29,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-19,76.4,54.2,65,76.4,54.2,65,50.3,60.7,0,0,0,,0,0,19,7.3,330.8,1018.4,14.7,9.9,312.9,26.9,9,,2021-06-19T05:11:20,2021-06-19T21:10:22,0.33,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-20,79.8,60,69.9,79.8,60,69.9,54.4,59.6,0,0,0,,0,0,21.9,11.2,332.9,1015.4,23.8,9.9,342.2,29.6,9,,2021-06-20T05:11:30,2021-06-20T21:10:37,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-21,87.7,62.3,75.5,85.8,62.3,75,54.1,49.5,0,0,0,,0,0,12.5,7.8,326.3,1011.2,2.2,9.9,339.6,29.6,9,,2021-06-21T05:11:43,2021-06-21T21:10:48,0.4,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-22,77.3,61.2,69.9,77.3,61.2,69.9,57,64.5,0,0,0,,0,0,19.5,11.3,212.2,1010.6,15.7,9.9,330.3,28.5,9,,2021-06-22T05:11:58,2021-06-22T21:10:57,0.43,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-23,76.4,56.3,65,76.4,56.3,65,53.5,68.6,0,0,0,,0,0,15.9,8.8,221.5,1013.6,43,9.9,283.3,24.4,9,,2021-06-23T05:12:16,2021-06-23T21:11:04,0.47,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-24,81.4,58.6,70,81.2,58.6,69.9,55.6,62.4,0,0,0,,0,0,13.4,9.6,315.8,1017.1,25.6,9.8,324,27.8,9,,2021-06-24T05:12:36,2021-06-24T21:11:08,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-25,87.3,64.9,76.1,86.9,64.9,76.1,58.2,55.5,0,0,0,,0,0,19.7,10.7,332,1016.2,15.7,9.9,331,28.7,9,,2021-06-25T05:12:58,2021-06-25T21:11:10,0.53,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2021-06-26,99.7,69.5,83.8,101.5,69.5,84.7,61.8,49.9,0,0,0,,0,0,19.7,10.3,325.1,1014.4,0.2,9.7,331.9,28.7,9,,2021-06-26T05:13:23,2021-06-26T21:11:08,0.57,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-27,99,73.5,86.5,101.9,73.5,87.6,62.9,47.2,0,0,0,,0,0,19.2,11.7,327.6,1010.8,0,9.5,335.5,29,9,,2021-06-27T05:13:50,2021-06-27T21:11:05,0.6,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-28,104.3,76.5,90.6,107.5,76.5,92.1,63.3,42.6,0,0,0,,0,0,25.3,10.9,325.1,1004.8,0,9.2,331.8,28.6,9,,2021-06-28T05:14:19,2021-06-28T21:10:58,0.63,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-29,85.2,63.5,74.2,85.2,63.5,74.4,60.1,63.3,0,0,0,,0,0,23,11.6,196.5,1008,4.2,9.4,326,28.3,9,,2021-06-29T05:14:50,2021-06-29T21:10:49,0.66,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2021-06-30,73.9,62.2,67.3,73.9,62.2,67.3,57.6,71.6,0,0,0,,0,0,19.7,9.8,192.7,1012.3,62,9.7,243.8,21.1,8,,2021-06-30T05:15:24,2021-06-30T21:10:37,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,KRNT"
