name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2016-06-01,23.4,14.5,18.9,23.4,14.5,18.9,10.7,60,0.115,100,8.33,rain,0,0,28.8,17.8,203,1013.9,64.2,16,262.8,22.7,7,,2016-06-01T05:15:22,2016-06-01T20:59:41,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2016-06-02,21,15,17.3,21,15,17.3,11.8,71.3,0.41,100,16.67,rain,0,0,38.9,26.9,189.3,1018,87.3,15.9,140.4,12.2,5,,2016-06-02T05:14:47,2016-06-02T21:00:34,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2016-06-03,26.7,13.7,20,26.7,13.7,20,11.8,61.6,0,0,0,,0,0,31.3,18,315.3,1023.2,43.7,16,334.8,29,9,,2016-06-03T05:14:15,2016-06-03T21:01:25,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2016-06-04,26.8,17,22.4,26.6,17,22.4,9.6,45.3,0,0,0,,0,0,37.8,20.8,331.1,1018,14.9,16,342.5,29.6,9,,2016-06-04T05:13:45,2016-06-04T21:02:14,0,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2016-06-05,33,18.2,25.9,32.9,18.2,25.7,13.7,48.5,0,0,0,,0,0,21.6,14,332.2,1012.2,19.7,16,343.1,29.7,9,,2016-06-05T05:13:17,2016-06-05T21:03:02,0.02,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2016-06-06,29.3,18,24.1,28.4,18,23.8,11.5,47,0,0,0,,0,0,31.7,19.9,325.2,1012.1,17.3,16,344.8,29.7,9,,2016-06-06T05:12:52,2016-06-06T21:03:48,0.05,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2016-06-07,29.1,15.2,21.9,28,15.2,21.8,9.2,45.7,0,0,0,,0,0,15.8,12.9,321.6,1009.8,35.6,16,334.1,29,9,,2016-06-07T05:12:30,2016-06-07T21:04:31,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2016-06-08,20.2,14,17.2,20.2,14,17.2,9.6,61.2,0.045,100,4.17,rain,0,0,35.7,23.1,198.3,1011.3,71.6,16,224.3,19.3,7,,2016-06-08T05:12:10,2016-06-08T21:05:13,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2016-06-09,17.5,12.2,14.9,17.5,12.2,14.9,8.4,66.4,1.4,100,12.5,rain,0,0,38.9,17.7,177,1013.8,89.8,15.7,147.3,12.6,4,,2016-06-09T05:11:53,2016-06-09T21:05:52,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2016-06-10,17.9,11,13.7,17.9,11,13.7,7.2,66.1,1.589,100,25,rain,0,0,37.8,18.9,180.7,1015.7,76.1,15.8,243.6,21,7,,2016-06-10T05:11:38,2016-06-10T21:06:30,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
