name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2020-06-01,19.8,10.5,15,19.8,10.5,15,6.3,58.3,0,0,0,,0,0,15.1,11.2,336.3,1021.4,37.4,15.1,309.7,26.6,9,,2020-06-01T05:15:22,2020-06-01T20:59:44,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-02,18.3,10.4,14.2,18.3,10.4,14.2,7.8,66.3,0,0,0,,0,0,30.6,15.4,212.4,1022.9,52.2,14.9,162.8,14.1,5,,2020-06-02T05:14:47,2020-06-02T21:00:37,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-03,18.8,11.6,14.7,18.8,11.6,14.7,7.9,65.5,0,0,0,,0,0,21.6,14,348,1022.2,80.7,14.9,268.3,23.2,9,,2020-06-03T05:14:15,2020-06-03T21:01:29,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-04,20.4,12.9,15.7,20.4,12.9,15.7,6.5,55.2,0,0,0,,0,0,20.2,13.5,349.7,1018.2,74.1,15.2,221.3,19.2,9,,2020-06-04T05:13:45,2020-06-04T21:02:18,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-05,18.7,11,14.6,18.7,11,14.6,8.1,65.9,1.03,100,4.17,rain,0,0,27.7,12.8,347.8,1008.5,54.4,14.8,182.9,15.9,6,,2020-06-05T05:13:17,2020-06-05T21:03:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-06,16.8,10.8,13.6,16.8,10.8,13.6,7.7,67.8,0.045,100,4.17,rain,0,0,36.7,21.3,192.4,1009.2,78.6,15,278,24,9,,2020-06-06T05:12:52,2020-06-06T21:03:51,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-07,18,10.6,13.5,18,10.6,13.5,8.5,72.9,0.09,100,8.33,rain,0,0,31.1,15.9,197.7,1014.9,77.8,14.9,238.1,20.7,10,,2020-06-07T05:12:30,2020-06-07T21:04:35,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-08,17.8,11.5,14.4,17.8,11.5,14.4,6.3,59.7,0,0,0,,0,0,40.7,22.2,191.9,1021.9,73.8,15.6,198.5,17.1,7,,2020-06-08T05:12:10,2020-06-08T21:05:16,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-09,17.4,11,13.7,17.4,11,13.7,12.1,90.4,2.73,100,66.67,rain,0,0,43.2,15.4,157.7,1019.5,83.9,11.9,86.3,7.4,3,,2020-06-09T05:11:53,2020-06-09T21:05:56,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-10,21.9,13.2,17.2,21.9,13.2,17.2,12.9,77.8,0.584,100,4.17,rain,0,0,38.2,17.8,253.8,1019.3,69.4,15.4,275.8,23.9,9,,2020-06-10T05:11:38,2020-06-10T21:06:33,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-11,21.8,14.8,17.4,21.8,14.8,17.4,11,67.7,1.393,100,12.5,rain,0,0,18,11.2,188,1017.9,68.1,15.6,203.1,17.5,8,,2020-06-11T05:11:26,2020-06-11T21:07:08,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-12,15.9,12.5,14.2,15.9,12.5,14.2,10.3,78,4.895,100,25,rain,0,0,33.1,17.7,175.4,1016.2,62.7,15.3,77.8,6.8,5,,2020-06-12T05:11:17,2020-06-12T21:07:41,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-13,17,11.8,13.8,17,11.8,13.8,9.3,75.5,1.209,100,25,rain,0,0,39.3,25.5,188.6,1014,68.6,15.6,184.3,15.8,8,,2020-06-13T05:11:10,2020-06-13T21:08:12,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-14,18.7,10.6,14.4,18.7,10.6,14.4,6.7,61.6,0,0,0,,0,0,35.3,17.1,194.6,1016.2,67.3,16,214.1,18.6,10,,2020-06-14T05:11:05,2020-06-14T21:08:40,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-15,17.8,12,14.3,17.8,12,14.3,9.5,73.4,1.614,100,41.67,rain,0,0,38.5,21.6,169.1,1013.1,79.1,15.5,124.2,10.7,4,,2020-06-15T05:11:04,2020-06-15T21:09:06,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-16,19.2,11.3,14.6,19.2,11.3,14.6,8.5,68.6,0.388,100,16.67,rain,0,0,29.5,14.2,306,1018.5,66,15.6,250.7,21.9,9,,2020-06-16T05:11:04,2020-06-16T21:09:29,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2020-06-17,22.2,10.8,16.7,22.2,10.8,16.7,9.4,63.9,0,0,0,,0,0,21.6,11.2,244.4,1024.8,54.4,16,293.6,25.6,9,,2020-06-17T05:11:08,2020-06-17T21:09:50,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
