name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2019-06-01,23.6,12.4,17.1,23.6,12.4,17.1,11.2,70.2,0,0,0,,0,0,17.3,12.2,327.6,1016.2,39.1,12.6,225.7,19.5,8,,2019-06-01T05:15:50,2019-06-01T20:59:02,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-02,23.5,12.5,18,23.5,12.5,18,10.2,61.4,0,0,0,,0,0,27.7,15,206.1,1013.4,16.2,14.7,299.7,25.8,9,,2019-06-02T05:15:13,2019-06-02T20:59:56,0.98,Clear,Clear conditions throughout the day.,clear-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-03,20.8,12.3,15.6,20.8,12.3,15.6,7.7,60.2,0,0,0,,0,0,31.7,13.5,240.7,1019,71.3,14.9,180.9,15.6,6,,2019-06-03T05:14:39,2019-06-03T21:00:49,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-04,22.1,11.4,16.4,22.1,11.4,16.4,5.5,50.8,0,0,0,,0,0,20.2,15.1,299.9,1020.5,41.7,14.8,303.9,26.3,9,,2019-06-04T05:14:07,2019-06-04T21:01:40,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-05,19.2,12.8,15.3,19.2,12.8,15.3,7,57.7,0,0,0,,0,0,35.6,21.5,194.5,1016.5,70.2,14.8,171.8,15.1,6,,2019-06-05T05:13:38,2019-06-05T21:02:29,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-06,18.2,10.4,13.6,18.2,10.4,13.6,5.4,59.3,0.045,100,8.33,rain,0,0,40.7,21.7,184.1,1015.6,67.5,14.9,178.8,15.4,6,,2019-06-06T05:13:11,2019-06-06T21:03:16,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-07,15.7,10.9,12.6,15.7,10.9,12.6,7.1,69.9,0.379,100,8.33,rain,0,0,39.5,24.5,193.9,1018.9,81,14.8,154.4,13.2,6,,2019-06-07T05:12:46,2019-06-07T21:04:01,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-08,20.3,11.2,15,20.3,11.2,15,7.4,62.3,0,0,0,,0,0,30.6,14.6,218.8,1027.9,63.7,16,289.3,24.9,9,,2019-06-08T05:12:25,2019-06-08T21:04:44,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-09,22.6,11.1,16.6,22.6,11.1,16.6,7,55.6,0,0,0,,0,0,28.4,18.3,329.6,1028.3,17,15.7,288.7,24.9,9,,2019-06-09T05:12:05,2019-06-09T21:05:25,0.25,Clear,Clear conditions throughout the day.,clear-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-10,25.2,13.3,19,25.2,13.3,19,8.2,51.2,0,0,0,,0,0,32.8,18,331.8,1026.1,14.9,15.9,315.8,27.5,9,,2019-06-10T05:11:49,2019-06-10T21:06:04,0.26,Clear,Clear conditions throughout the day.,clear-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-11,28.2,15.7,22,27.6,15.7,21.9,12.1,55.4,0,0,0,,0,0,35.6,21,333.7,1022.6,6.2,15.7,323.8,27.9,9,,2019-06-11T05:11:35,2019-06-11T21:06:41,0.3,Clear,Clear conditions throughout the day.,clear-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-12,33.7,18.6,25.8,31.7,18.6,25.4,12.1,44.5,0,0,0,,0,0,20.9,12.5,327.3,1013.2,21.8,15.6,271.4,23.6,9,,2019-06-12T05:11:23,2019-06-12T21:07:15,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-13,26.5,16,20.9,26.5,16,20.9,11.7,56.6,0,0,0,,0,0,31.3,16.7,212.2,1012.7,18.7,15.3,295.6,25.6,9,,2019-06-13T05:11:14,2019-06-13T21:07:48,0.37,Clear,Clear conditions throughout the day.,clear-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-14,21,13.8,16.6,21,13.8,16.6,9.5,63.9,0,0,0,,0,0,25.6,12.1,208.8,1018.2,74.1,15.6,202.7,17.4,9,,2019-06-14T05:11:08,2019-06-14T21:08:18,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-15,23.5,12,17.3,23.5,12,17.3,10.5,66.4,0,0,0,,0,0,18,11.8,311.4,1018.3,36.5,14.8,218.5,18.7,9,,2019-06-15T05:11:04,2019-06-15T21:08:45,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-16,24.5,12.3,18.3,24.5,12.3,18.3,11,64.4,0,0,0,,0,0,21.2,10,310,1017.5,36.7,15.2,294.4,25.5,9,,2019-06-16T05:11:03,2019-06-16T21:09:11,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-17,24.2,14,18.6,24.2,14,18.6,11.9,66.8,0,0,0,,0,0,20.5,11.3,227.6,1019.9,61.5,15.2,235.4,20.4,9,,2019-06-17T05:11:04,2019-06-17T21:09:34,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-18,18.2,14.3,16.4,18.2,14.3,16.4,12.3,76.7,0.91,100,25,rain,0,0,25.9,11.9,157.6,1022.5,86.5,12.8,89.2,7.7,4,,2019-06-18T05:11:08,2019-06-18T21:09:54,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-19,20.2,11.6,15,20.2,11.6,15,7.6,62.9,1.252,100,8.33,rain,0,0,34.2,17.4,168.8,1021.7,86.1,15.1,172,14.6,8,,2019-06-19T05:11:15,2019-06-19T21:10:12,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-20,19.7,10.6,14.8,19.7,10.6,14.8,7.7,65,2.681,100,25,rain,0,0,35.3,21.5,181.8,1019.1,77.5,15.2,227.3,19.7,9,,2019-06-20T05:11:24,2019-06-20T21:10:28,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-21,21.7,13.3,16.6,21.7,13.3,16.6,8.2,58.5,0,0,0,,0,0,31.7,14.8,192,1021.3,73.7,15.7,247.2,21.4,9,,2019-06-21T05:11:35,2019-06-21T21:10:41,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-22,18.6,13.5,15.4,18.6,13.5,15.4,9.4,67.7,0,0,0,,0,0,28.4,16.7,194.8,1023.4,91.4,15,139.1,12.1,6,,2019-06-22T05:11:49,2019-06-22T21:10:51,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-23,17.4,12.3,14.9,17.4,12.3,14.9,10,73.2,0,0,0,,0,0,30.6,16.2,175.6,1021.5,89.4,13.8,68.3,6.1,3,,2019-06-23T05:12:05,2019-06-23T21:10:59,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-24,20.8,11.7,15.8,20.8,11.7,15.8,8.3,63.8,0,0,0,,0,0,17.3,11.4,342.7,1017.6,64.2,14.5,202.7,17.4,9,,2019-06-24T05:12:24,2019-06-24T21:11:04,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-25,23.3,11.3,17.3,23.3,11.3,17.3,8,57.1,0,0,0,,0,0,29.9,14.6,273.7,1012,45.1,14.8,282.5,24.2,9,,2019-06-25T05:12:45,2019-06-25T21:11:07,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-26,21.3,12.2,16.9,21.3,12.2,16.9,10.1,65.6,0.045,100,4.17,rain,0,0,22.7,14.1,192.7,1012.3,35,15.2,220.7,19.3,8,,2019-06-26T05:13:09,2019-06-26T21:11:07,0.81,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-27,21.3,14,16.8,21.3,14,16.8,9.9,65.8,0.42,100,16.67,rain,0,0,40.7,20.3,184.6,1016.5,71.3,15.6,240.2,21,7,,2019-06-27T05:13:34,2019-06-27T21:11:05,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-28,22.2,13,17.6,22.2,13,17.6,8.9,59.6,0,0,0,,0,0,23.4,15,202.2,1019.9,57.8,15,227.8,19.8,9,,2019-06-28T05:14:02,2019-06-28T21:11:00,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-29,24.3,13.6,18.8,24.3,13.6,18.8,8.9,55,0,0,0,,0,0,28.4,17.1,331.5,1020.5,28.3,15.8,301.5,26,9,,2019-06-29T05:14:33,2019-06-29T21:10:52,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-06-30,26.2,13.7,20.5,26.2,13.7,20.5,8.6,49.2,0,0,0,,0,0,29.5,21.3,329.9,1019.7,11.5,15.4,319.5,27.5,9,,2019-06-30T05:15:05,2019-06-30T21:10:42,0.93,Clear,Clear conditions throughout the day.,clear-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-01,27.7,14.9,21,27.1,14.9,21,10.1,51.2,0,0,0,,0,0,27,14.3,298.2,1017.6,16.9,15.1,321.1,27.7,9,,2019-07-01T05:15:40,2019-07-01T21:10:29,0.97,Clear,Clear conditions throughout the day.,clear-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-02,16.3,14.8,15.5,16.3,14.8,15.5,11.4,77,6.571,100,29.17,rain,0,0,35.3,18.4,187.6,1019,84,13.5,37.9,3.2,2,,2019-07-02T05:16:17,2019-07-02T21:10:13,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-03,20.8,14.1,16.9,20.8,14.1,16.9,12.6,77,0,0,0,,0,0,17.3,9.7,224.5,1018.1,81.3,14.5,129.7,11.1,6,,2019-07-03T05:16:55,2019-07-03T21:09:55,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-04,23.5,13.9,17.9,23.5,13.9,17.9,12,70.1,0,0,0,,0,0,18.4,11.9,253.2,1017.5,51.7,14.7,263.3,22.9,8,,2019-07-04T05:17:36,2019-07-04T21:09:35,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-05,20.5,15.2,17.5,20.5,15.2,17.5,11.6,69.1,0,0,0,,0,0,28.1,15.5,203.8,1018.8,84,14.4,112.7,9.6,4,,2019-07-05T05:18:19,2019-07-05T21:09:11,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-06,22.5,15.2,18.4,22.5,15.2,18.4,10,59.7,0,0,0,,0,0,31.7,17.3,218.4,1019.4,83.6,15.3,193.8,16.7,6,,2019-07-06T05:19:04,2019-07-06T21:08:45,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-07,19.9,15,17.4,19.9,15,17.4,11.5,69.1,0.191,100,4.17,rain,0,0,29.2,14.4,176.7,1017.1,89.1,14.9,107.8,9.1,4,,2019-07-07T05:19:50,2019-07-07T21:08:17,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-08,23.6,14.6,18.6,23.6,14.6,18.6,12.2,69.4,0.191,100,4.17,rain,0,0,18,12.3,291.3,1015.4,66.9,12.7,251.8,21.6,9,,2019-07-08T05:20:39,2019-07-08T21:07:46,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-09,24,14.8,19.4,24,14.8,19.4,12.9,67.6,2.758,100,20.83,rain,0,0,21.6,10.1,298.7,1015.2,45,14.7,165,14.3,5,,2019-07-09T05:21:29,2019-07-09T21:07:12,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-10,21.4,17.1,18.9,21.4,17.1,18.9,16.3,85.1,6.458,100,62.5,rain,0,0,35.3,13,178.6,1017.2,71.4,12.2,133.9,11.6,5,,2019-07-10T05:22:21,2019-07-10T21:06:36,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2019-07-11,24.3,16.5,19.9,24.3,16.5,19.9,13.8,69.5,0,0,0,,0,0,20.5,10.7,201.5,1020.1,68.9,15.4,190.4,16.3,7,,2019-07-11T05:23:14,2019-07-11T21:05:58,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,E8003,KSEA,KBFI,72793524234,72793494248,KRNT"
