name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2024-06-01,18.2,13.1,15.8,18.2,13.1,15.8,8.2,60.9,0,0,0,,0,0,27.7,14.4,222.8,1014.2,85,16,145.8,12.9,5,10,2024-06-01T05:15:23,2024-06-01T20:59:50,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-02,16.1,13.2,14.5,16.1,13.2,14.5,12.2,85.8,7.377,100,54.17,rain,0,0,43.2,23.9,171.4,1007.7,99.1,11.2,88,7.7,5,10,2024-06-02T05:14:48,2024-06-02T21:00:43,0.87,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-03,15.2,11.4,13,15.2,11.4,13,8.6,75.3,8.543,100,29.17,rain,0,0,56.8,31.5,188.7,1007.6,86.5,14.7,246.5,21.3,9,10,2024-06-03T05:14:16,2024-06-03T21:01:34,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-04,16.6,10.9,13.6,16.6,10.9,13.6,9.4,76.1,1.861,100,29.17,rain,0,0,59.4,23.5,187.6,1013.5,87.8,13.4,143.5,12.4,6,10,2024-06-04T05:13:46,2024-06-04T21:02:23,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-05,19.6,9.6,14.7,19.6,9.2,14.7,6.6,60.5,0,0,0,,0,0,20.5,14,323.7,1022.6,45.5,15.8,288.3,24.9,9,10,2024-06-05T05:13:18,2024-06-05T21:03:11,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-06,22.1,10.6,16.3,22.1,10.6,16.3,7.1,56.4,0,0,0,,0,0,33.5,18.9,331.4,1019.8,7.1,16,320.5,27.7,9,10,2024-06-06T05:12:54,2024-06-06T21:03:56,0,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-07,24,11.1,18.1,24,11.1,18.1,7.5,51.3,0,0,0,,0,0,32.4,17.9,329.4,1015.6,3.9,16,332.2,28.5,9,10,2024-06-07T05:12:31,2024-06-07T21:04:40,0.04,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-08,26.1,12.4,20.3,26.1,12.4,20.3,8.6,49,0,0,0,,0,0,11.2,9.9,313.4,1012.6,14.9,16,246.4,21,8,10,2024-06-08T05:12:12,2024-06-08T21:05:21,0.07,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-09,22.3,12.8,17.2,22.3,12.8,17.2,10.1,63.7,0,0,0,,0,0,53.6,15.5,196.6,1016.2,27,16,287.1,24.8,9,10,2024-06-09T05:11:55,2024-06-09T21:06:01,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-10,21.2,11.1,15.4,21.2,11.1,15.4,9,67.7,0.045,100,4.17,rain,0,0,16.6,14.1,225,1019.8,74.1,15.1,250.7,21.7,10,10,2024-06-10T05:11:40,2024-06-10T21:06:38,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-11,19.2,13.1,16.1,19.2,13.1,16.1,8.3,60.5,0,0,0,,0,0,58.9,25.5,192.5,1017.6,66.4,15.8,302.8,26.1,10,10,2024-06-11T05:11:28,2024-06-11T21:07:13,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-12,19.2,11.9,15.2,19.2,11.9,15.2,5.6,54.1,0,0,0,,0,0,32.4,17.2,343.3,1023.1,57.4,15.6,315.4,27.1,10,10,2024-06-12T05:11:19,2024-06-12T21:07:46,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-13,21.2,10.6,16,21.2,10.6,16,6.1,54.1,0,0,0,,0,0,18.4,15.5,319.1,1018.8,18.9,15.8,282.3,24.3,9,10,2024-06-13T05:11:12,2024-06-13T21:08:16,0.25,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-14,17.8,9.8,13.9,17.8,8.1,13.8,7.2,64.7,0.045,100,4.17,rain,0,0,38.9,22,195.9,1020.1,73.1,16,204.9,17.6,8,10,2024-06-14T05:11:07,2024-06-14T21:08:44,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-15,16.2,10.9,13.1,16.2,10.9,13.1,7.1,67.8,2.229,100,8.33,rain,0,0,52,27.8,201.3,1018.3,82.2,16,168.4,14.6,8,10,2024-06-15T05:11:06,2024-06-15T21:09:10,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-16,17.3,10,13.3,17.3,10,13.3,5.6,61.5,0,0,0,,0,0,35.3,18.9,290.5,1018.1,80.3,16,216.3,18.6,10,10,2024-06-16T05:11:07,2024-06-16T21:09:34,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2024-06-17,16.3,10.7,13.4,16.3,10.7,13.4,8.4,72.4,0.263,100,12.5,rain,0,0,29.5,15.8,189.1,1017.3,98.4,15.8,110.3,9.5,4,10,2024-06-17T05:11:10,2024-06-17T21:09:55,0.36,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
