name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2017-06-01,19.5,14.3,16.3,19.5,14.3,16.3,12.6,80.4,1.09,100,20.83,rain,0,0,37.5,22.1,192.2,1013.5,79.8,14.8,196.5,17,7,,2017-06-01T05:15:31,2017-06-01T20:59:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2017-06-02,22.3,12.9,17.1,22.3,12.9,17.1,10.3,65.7,0,0,0,,0,0,28.4,13.9,221.7,1017.6,64.2,16,222.8,19.4,7,,2017-06-02T05:14:55,2017-06-02T21:00:21,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2017-06-03,18.4,13.5,15.6,18.4,13.5,15.6,8.9,65.4,0,0,0,,0,0,25.9,14,256.5,1017.4,68.7,16,144,12.6,4,,2017-06-03T05:14:22,2017-06-03T21:01:12,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2017-06-04,18.6,12.6,14.9,18.6,12.6,14.9,7.3,61.6,0,0,0,,0,0,18,11.4,334.8,1019.6,73.1,16,174,14.8,5,,2017-06-04T05:13:52,2017-06-04T21:02:02,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2017-06-05,21.8,9.4,16,21.8,9.4,16,7.5,58.9,0,0,0,,0,0,26.6,16.9,322.8,1020.6,15.8,16,349,30.3,9,,2017-06-05T05:13:23,2017-06-05T21:02:50,0.37,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2017-06-06,28.5,12.9,20,27.3,12.9,19.8,8.6,50.7,0,0,0,,0,0,27.7,12.1,322.7,1014.1,31,16,342.2,29.8,9,,2017-06-06T05:12:58,2017-06-06T21:03:36,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2017-06-07,25.9,14.3,20,25.9,14.3,20,9.3,51.7,0,0,0,,0,0,25.9,12.8,222.3,1008.6,38.5,16,272.1,23.7,8,,2017-06-07T05:12:35,2017-06-07T21:04:21,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2017-06-08,17.5,13.4,14.9,17.5,13.4,14.9,11.4,81.7,7.176,100,50,rain,0,0,42.5,21.7,191,1008.4,78.1,14.5,127.5,10.9,5,,2017-06-08T05:12:14,2017-06-08T21:05:03,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2017-06-09,16.7,11.5,13.4,16.7,11.5,13.4,8.5,73,0.537,100,12.5,rain,0,0,40,20,174.1,1012.1,75.4,15.8,272,23.6,9,,2017-06-09T05:11:56,2017-06-09T21:05:43,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
seattle,2017-06-10,18.5,9.7,14.4,18.5,9.7,14.4,7.8,67.1,0,0,0,,0,0,29.5,16,281.8,1011.6,52.9,16,240.8,20.7,7,,2017-06-10T05:11:41,2017-06-10T21:06:21,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,KRNT"
