name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2022-06-01,71.3,54.7,61.7,71.3,54.7,61.7,51.6,70.3,0.021,100,8.33,rain,0,0,17.2,8.5,329.6,1016.1,55.5,9.3,182.1,15.6,7,10,2022-06-01T05:15:41,2022-06-01T20:59:20,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-02,73.6,53.8,63.2,73.6,53.8,63.2,56,78.7,0.044,100,4.17,rain,0,0,11.6,6.5,5.5,1011.6,59.4,9.2,216.2,18.7,8,10,2022-06-02T05:15:05,2022-06-02T21:00:14,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-03,63.6,54.9,59,63.6,54.9,59,54.1,83.8,0.123,100,41.67,rain,0,0,25.3,11,178.5,1008.6,97.1,9.6,147.5,12.7,6,10,2022-06-03T05:14:31,2022-06-03T21:01:06,0.14,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-04,68.1,55,60.4,68.1,55,60.4,53.9,80.4,0.21,100,20.83,rain,0,0,13.2,8.5,198.4,1007.3,88.5,9.3,241.1,20.9,8,10,2022-06-04T05:14:00,2022-06-04T21:01:56,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-05,64.3,54.2,60.2,64.3,54.2,60.2,54.5,82.2,0.481,100,41.67,rain,0,0,21.9,11.5,192.7,1006.8,92.6,9.3,153.1,13.3,7,10,2022-06-05T05:13:31,2022-06-05T21:02:45,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-06,64.7,52.3,57.8,64.7,52.3,57.8,45.9,65.6,0,0,0,,0,0,9.2,7.4,308.1,1019.9,82.4,9.9,237.4,20.6,7,10,2022-06-06T05:13:05,2022-06-06T21:03:31,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-07,72.3,49.9,61.9,72.3,49.9,61.9,48.2,62.6,0,0,0,,0,0,12.1,10,312.9,1015.7,28.7,9.9,262.4,22.8,9,10,2022-06-07T05:12:41,2022-06-07T21:04:16,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-08,69.4,57.8,62.8,69.4,57.8,62.8,47.9,58.9,0,0,0,,0,0,19.5,8.8,210.4,1016,61.7,9.9,257.4,22.3,8,10,2022-06-08T05:12:20,2022-06-08T21:04:58,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-09,60.2,55.1,57,60.2,55.1,57,52.6,85.8,0.771,100,70.83,rain,0,0,16.8,7.5,162.1,1013.1,90,6.8,60.4,5.2,2,10,2022-06-09T05:12:02,2022-06-09T21:05:39,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-10,66.6,57.6,61.1,66.6,57.6,61.1,56.8,86.3,0.057,100,20.83,rain,0,0,26.2,9,195,1013.6,93.8,9.2,142.5,12.5,6,10,2022-06-10T05:11:46,2022-06-10T21:06:17,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2022-06-11,70.1,56.1,61.3,70.1,56.1,61.3,52.4,74.7,0.015,100,8.33,rain,0,0,16.1,8.5,205.2,1013.2,81.7,9.7,231.5,19.9,8,10,2022-06-11T05:11:33,2022-06-11T21:06:53,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-12,59.2,52.4,55.4,59.2,52.4,55.4,46.9,73.5,0.029,100,12.5,rain,0,0,19.2,9.9,212,1010.9,99.6,9.2,125.7,10.8,5,10,2022-06-12T05:11:22,2022-06-12T21:07:27,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-13,59.9,48.9,53.9,59.9,46,53.3,45.3,73.5,0.02,100,16.67,rain,0,0,27.8,14.7,190.1,1017.6,96.3,9.6,143.4,12.4,5,10,2022-06-13T05:11:14,2022-06-13T21:07:59,0.48,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-14,61.4,48.1,55.6,61.4,45.6,55.4,45.2,69.6,0.044,100,8.33,rain,0,0,19,9.2,203.3,1022.4,96.8,9.7,159.7,13.6,6,10,2022-06-14T05:11:08,2022-06-14T21:08:28,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2022-06-15,61.8,51.6,56.7,61.8,51.6,56.7,47.1,70.7,0,0,0,,0,0,11,5.2,321.5,1016.4,66.7,9.8,137.2,12,5,10,2022-06-15T05:11:05,2022-06-15T21:08:55,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-16,67.9,51.7,59.7,67.9,51.7,59.7,49,69.5,0.002,100,4.17,rain,0,0,21,8.6,235,1012.8,65.3,9.6,297.1,25.7,9,10,2022-06-16T05:11:05,2022-06-16T21:09:20,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72793024233,KSEA,KBFI,E8046,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-17,58.7,54.3,56.1,58.7,54.3,56.1,50.5,81.9,0.084,100,33.33,rain,0,0,21.7,8.3,281.9,1010.5,84,9.2,65.1,5.7,2,10,2022-06-17T05:11:07,2022-06-17T21:09:42,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-18,61.7,53.1,56.9,61.7,53.1,56.9,49.1,75.9,0.001,100,4.17,rain,0,0,18.3,9.5,186.8,1015.8,99.4,9.9,124.6,10.8,6,10,2022-06-18T05:11:11,2022-06-18T21:10:02,0.65,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-19,65.8,53.1,59,65.8,53.1,59,48.8,69.9,0,0,0,,0,0,15.4,7.1,216.6,1022.1,96.2,9.9,208.1,18.2,6,10,2022-06-19T05:11:18,2022-06-19T21:10:19,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-20,66.7,53.9,59.8,66.7,53.9,59.8,49,68.2,0,0,0,,0,0,8.3,7.2,264.4,1026.4,79.5,9.8,198.5,17.2,9,10,2022-06-20T05:11:28,2022-06-20T21:10:34,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-21,75.8,53.1,64.3,75.8,53.1,64.3,52.2,67.6,0,0,0,,0,0,9.6,6.3,297.9,1025.8,39.7,9.4,298.5,25.7,9,10,2022-06-21T05:11:40,2022-06-21T21:10:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-22,66,58.1,61.4,66,58.1,61.4,54.9,79.7,0.011,100,8.33,rain,0,0,14.5,7.1,320.5,1020.9,83.8,8.2,117.6,10.2,4,10,2022-06-22T05:11:55,2022-06-22T21:10:56,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-23,69.5,53.8,61,69.5,53.8,61,44,56.1,0,0,0,,0,0,17.2,10.3,337.1,1020.8,54.4,9.9,312.8,27,9,10,2022-06-23T05:12:12,2022-06-23T21:11:04,0.82,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-24,75.4,51.5,64.6,75.4,51.5,64.6,44.7,51.1,0,0,0,,0,0,20.8,14.8,340.9,1022,2.8,9.9,334,28.9,9,10,2022-06-24T05:12:31,2022-06-24T21:11:08,0.85,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-25,84.2,59.2,72.8,82.8,59.2,72.4,50.4,46.7,0,0,0,,0,0,23.1,14.3,330.3,1020,6.6,9.9,332.8,28.7,9,10,2022-06-25T05:12:53,2022-06-25T21:11:10,0.89,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-26,87.6,65.1,76.5,85.3,65.1,75.9,51.6,42.7,0,0,0,,0,0,21.9,16.5,329,1016.7,2.1,9.9,335.9,29,9,10,2022-06-26T05:13:17,2022-06-26T21:11:10,0.92,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-27,90.8,63.7,76.6,89,63.7,76.2,53.6,46.6,0,0,0,,0,0,18.3,11,234.9,1013.6,11.7,9.9,303.9,26.4,9,10,2022-06-27T05:13:43,2022-06-27T21:11:07,0.95,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-28,64.7,57.2,60.4,64.7,57.2,60.4,51.8,73.9,0.002,100,4.17,rain,0,0,25.3,15.9,205.7,1018.4,70.2,9.7,137.6,11.8,6,10,2022-06-28T05:14:12,2022-06-28T21:11:01,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-29,66.3,55.9,60.6,66.3,55.9,60.6,51.4,72.5,0,0,0,,0,0,20.8,8.3,198.8,1021.3,89.8,9.7,186.9,16.2,8,10,2022-06-29T05:14:43,2022-06-29T21:10:52,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-30,73.8,54.8,64.6,73.8,54.8,64.6,51.8,65.5,0,0,0,,0,0,13.2,14.1,324.9,1020,20.4,9.9,320,27.9,9,10,2022-06-30T05:15:16,2022-06-30T21:10:41,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-01,75.8,57.9,66.3,75.8,57.9,66.3,53.7,64.7,0,0,0,,0,0,16.1,8.6,308.8,1018,9.7,9.9,323.8,28.2,9,10,2022-07-01T05:15:51,2022-07-01T21:10:28,0.09,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-02,66.6,56.1,61.1,66.6,56.1,61.1,53.8,77.3,0,0,0,,0,0,11.9,8.1,282.5,1014.7,76.5,9.9,221.3,19.3,8,10,2022-07-02T05:16:29,2022-07-02T21:10:12,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
